BX = 000 Event : 1
BX = 110 Event : 87
BX = 111 Event : 88
BX = 000 Event : 89
0x00 0110101|0100001 0x1AA1
0x01 0110101|0100010 0x1AA2
BX = 001 Event : 90
0x00 0010100|0100111 0x0A27
BX = 010 Event : 91
0x00 0010110|0010000 0x0B10
0x01 0100011|0000111 0x1187
0x02 0101111|0010111 0x1797
0x03 0110000|0010111 0x1817
BX = 011 Event : 92
0x00 0010110|0010010 0x0B12
0x01 0010111|0010010 0x0B92
0x02 0011100|0000100 0x0E04
0x03 0011100|0000101 0x0E05
0x04 0011101|0000100 0x0E84
0x05 0011101|0000101 0x0E85
0x06 0101000|0000100 0x1404
0x07 0101000|0000101 0x1405
0x08 0101010|0000011 0x1503
0x09 0101011|0001100 0x158C
0x0a 0101011|0010010 0x1592
BX = 100 Event : 93
0x00 0011100|0110100 0x0E34
0x01 0011100|0110101 0x0E35
0x02 0011100|0110111 0x0E37
BX = 101 Event : 94
0x00 0000011|0001000 0x0188
0x01 0000011|0001101 0x018D
0x02 0000110|0000111 0x0307
0x03 0000110|0001000 0x0308
0x04 0000110|0001101 0x030D
0x05 0000110|0010001 0x0311
0x06 0000110|0010010 0x0312
0x07 0010100|0010001 0x0A11
0x08 0010100|0010010 0x0A12
BX = 110 Event : 95
0x00 0001001|0001100 0x048C
