BX = 000 Event : 1
0x09 0111111|0011001 0x1F99
0x0a 0111111|0011011 0x1F9B
0x0b 1000011|0010100 0x2194
0x0c 1000011|0010110 0x2196
BX = 110 Event : 95
0x00 0011101|0000000 0x0E80
BX = 111 Event : 96
0x00 0101101|0001010 0x168A
0x01 0110100|0110101 0x1A35
0x02 0111001|0001000 0x1C88
BX = 000 Event : 97
BX = 001 Event : 98
0x00 0110000|0001011 0x180B
0x01 0110000|0001110 0x180E
BX = 010 Event : 99
0x00 0011010|0011111 0x0D1F
0x01 0011010|0100001 0x0D21
0x02 0011011|0011111 0x0D9F
0x03 0011011|0100001 0x0DA1
0x04 0011100|0011111 0x0E1F
0x05 0011100|0100001 0x0E21
0x06 0011101|0011111 0x0E9F
0x07 0011101|0100001 0x0EA1
0x08 0110001|0100101 0x18A5
0x09 0110110|0100101 0x1B25
0x0a 0110111|0100101 0x1BA5
0x0b 0111001|0100101 0x1CA5
0x0c 0111010|0100101 0x1D25
0x0d 1010101|0010110 0x2A96
0x0e 1010101|0011111 0x2A9F
0x0f 1010101|0100001 0x2AA1
BX = 011 Event : 100
0x00 0010110|0010101 0x0B15
0x01 0100100|0010101 0x1215
0x02 0100101|0010101 0x1295
0x03 0111111|0010101 0x1F95
